[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821219721}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821220760}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821220934}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821221246}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821221425}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821222075}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821222155}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821222064}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821222207}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821222755}]

[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821222792}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821223502}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821223524}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821223784}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821223885}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821224089}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821224253}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821224245}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821224345}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821224421}]

[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821224662}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821225321}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821225330}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821225886}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821225920}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821226067}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821226227}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821226244}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821226349}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821226515}]

[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821226669}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821227163}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821227253}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821227505}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821227647}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821227761}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821227912}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821227929}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821228067}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821228378}]

[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821228420}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821229204}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821229338}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821229621}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821229674}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821229842}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821229935}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821229959}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821230148}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821230466}]

[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821230580}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821230956}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821231170}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821231420}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821231490}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821231489}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821231635}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821231682}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821231854}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821232087}]
