[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821219784}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821220840}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821220813}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821221319}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821221424}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821221944}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821222129}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821222127}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821222263}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821222750}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821222773}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821223490}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821223548}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821223859}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821223993}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821224066}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821224209}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821224236}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821224272}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821224517}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821224554}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821225279}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821225374}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821225811}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821225913}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821226092}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821226144}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821226248}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821226269}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821226592}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821226618}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821227167}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821227245}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821227475}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821227560}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821227743}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821227850}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821228012}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821228137}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821228349}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821228485}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821229286}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821229326}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821229565}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821229732}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821229763}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821229997}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821230043}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821230111}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821230504}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821230542}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821230965}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821231158}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821231429}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821231512}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821231487}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821231687}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821231795}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821231885}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821232052}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821232175}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821232928}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821232874}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821233239}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821233338}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821233518}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821233555}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821233804}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821233851}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821234284}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821234391}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821234826}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821234861}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821235210}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821235351}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821235533}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821235617}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821235785}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821235825}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821236191}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821236304}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821236845}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821236851}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821237145}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821237240}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821237359}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821237437}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821237461}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821237671}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821237874}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821238035}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821238384}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821238531}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821238957}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821238976}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821239203}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821239335}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821239586}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821239658}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821239904}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821240065}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821240476}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821240448}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821240858}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821240936}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821241026}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821241149}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821241461}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821241512}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821241623}]
[{'key': 'Enter', 'eventType': 'keyup', 'timestamp': 1725821241723}, {'key': 'l', 'eventType': 'keydown', 'timestamp': 1725821242335}, {'key': 'l', 'eventType': 'keyup', 'timestamp': 1725821242566}, {'key': 'u', 'eventType': 'keydown', 'timestamp': 1725821243021}, {'key': 'u', 'eventType': 'keyup', 'timestamp': 1725821243195}, {'key': 'n', 'eventType': 'keydown', 'timestamp': 1725821243486}, {'key': 'n', 'eventType': 'keyup', 'timestamp': 1725821243608}, {'key': 'a', 'eventType': 'keydown', 'timestamp': 1725821243784}, {'key': 'a', 'eventType': 'keyup', 'timestamp': 1725821243897}, {'key': 'Enter', 'eventType': 'keydown', 'timestamp': 1725821244075}]
